,title,vote_average,overview,noverviwe
41,The White Shadow,10,"The White Shadow is a British drama film directed by Graham Cutts based on the novel ""Children of Chance"" by Michael Morton. Alfred Hitchcock worked on it as assistant director and also handled the writing. editing. and art direction.  The film was long thought to be lost. In August 2011. it was announced that the first three reels of the six-reel picture had been found in a garden shed and donated to the NFPF. The film cans were mislabled Two Sisters and Unidentified American Film and only later identified. The film was restored by Park Road Studios and is now in the New Zealand Film Archive.",The White Shadow is a British drama film directed by Graham Cutts based on the novel Children of Chance by Michael Morton Alfred Hitchcock worked on it as assistant director and also handled the writing editing and art direction  The film was long thought to be lost In August 2011 it was announced that the first three reels of the sixreel picture had been found in a garden shed and donated to the NFPF The film cans were mislabled Two Sisters and Unidentified American Film and only later identified The film was restored by Park Road Studios and is now in the New Zealand Film Archive
42,Mentor,10,A thought-provoking drama about the power that a famous university professor holds over his students and assistants.,A thoughtprovoking drama about the power that a famous university professor holds over his students and assistants
43,Bazodee,10,Set in beautiful Trinidad and Tobago. BAZODEE is a Bollywood style Caribbean musical about being true to yourself and honest in love at all costs.,Set in beautiful Trinidad and Tobago BAZODEE is a Bollywood style Caribbean musical about being true to yourself and honest in love at all costs
44,Winter Wind,10,In the mid-1930s a group of Croatian anarchists cross the dense forests at the northern border of Yugoslavia in an effort to seek refuge in Hungary.,In the mid1930s a group of Croatian anarchists cross the dense forests at the northern border of Yugoslavia in an effort to seek refuge in Hungary
45,Ween: Live in Chicago,10,Track List: 1. Buckingham Green 2. Spinal Meningitis Got Me Down 3. Pork Roll Egg and Cheese 4. Take Me Away 5. The Grobe 6. Transdermal Celebration 7. Even If You Don't 8. Voodoo Lady 9. Baby Bitch 10. The H.I.V. Song 11. Roses Are Free 12. Mutilated Lips 13. Chocolate Town 14. I'll Be Your Jonny On Th' Spot 15. Touch My Tooter 16. The Argus 17. Zoloft 18. Ocean Man 19. Don't Laugh (I Love You) 20. All of My Love 21. Big Jilm 22. You Fucked Up 23. Doctor Rock 24. She Fucks Me 25. Booze Me Up and Get Me High 26. The Blarney Stone,Track List 1 Buckingham Green 2 Spinal Meningitis Got Me Down 3 Pork Roll Egg and Cheese 4 Take Me Away 5 The Grobe 6 Transdermal Celebration 7 Even If You Dont 8 Voodoo Lady 9 Baby Bitch 10 The HIV Song 11 Roses Are Free 12 Mutilated Lips 13 Chocolate Town 14 Ill Be Your Jonny On Th Spot 15 Touch My Tooter 16 The Argus 17 Zoloft 18 Ocean Man 19 Dont Laugh I Love You 20 All of My Love 21 Big Jilm 22 You Fucked Up 23 Doctor Rock 24 She Fucks Me 25 Booze Me Up and Get Me High 26 The Blarney Stone
46,First Round Down,10,Tim Tucker (Dylan Bruce) was a star forward who broke a knee and never got drafted to the NHL. After the injury. Tim left hockey and became a hitman. Ten years later he finds himself back in town to look after his brother Matthew (Percy Hynes White). with a chance to set things right. But will his past wreak havoc with his shot at redemption? Written and directed by Brett and Jason Butler. First Round Down is a tire-squealing. gun toting. bad ass comedy set in a blue collar town.,Tim Tucker Dylan Bruce was a star forward who broke a knee and never got drafted to the NHL After the injury Tim left hockey and became a hitman Ten years later he finds himself back in town to look after his brother Matthew Percy Hynes White with a chance to set things right But will his past wreak havoc with his shot at redemption Written and directed by Brett and Jason Butler First Round Down is a tiresquealing gun toting bad ass comedy set in a blue collar town
47,Mera Naam Joker,10,"Raju is a joker. a clown. It is what he is and what he always shall be. As his life story unfolds in three chapters. from his school days to the circus to the streets. he must always make people laugh and be happy. no matter how unhappy he is within. Along the way. Raju loves and loses. but must always keep a smile on his face because. in the words of his circus manager. ""The show must go on.""",Raju is a joker a clown It is what he is and what he always shall be As his life story unfolds in three chapters from his school days to the circus to the streets he must always make people laugh and be happy no matter how unhappy he is within Along the way Raju loves and loses but must always keep a smile on his face because in the words of his circus manager The show must go on
48,Hell to Eternity,10,Based on the story about Guy Gabaldon. a Los Angeles Hispanic boy raised in the 1930s by a Japanese-American foster family. After Pearl Harbor. his foster family is interned at the Manzanar camp for Japanese Americans. while he enlists in the Marines. where his ability to speak Japanese becomes a vital asset. During the Battle of Saipan. he convinces 800 Japanese to surrender after their general commits suicide.,Based on the story about Guy Gabaldon a Los Angeles Hispanic boy raised in the 1930s by a JapaneseAmerican foster family After Pearl Harbor his foster family is interned at the Manzanar camp for Japanese Americans while he enlists in the Marines where his ability to speak Japanese becomes a vital asset During the Battle of Saipan he convinces 800 Japanese to surrender after their general commits suicide
49,Portrait of a Young Man in Three Movements,10,This is a non-narrative film comprised mostly of long takes of natural events such as the flow of the tide on a seashore. or the leaves of a tree. or the clouds in the sky.,This is a nonnarrative film comprised mostly of long takes of natural events such as the flow of the tide on a seashore or the leaves of a tree or the clouds in the sky
50,Perfumed Nightmare,10,Narrating in voiceover. Tahimik explains the patterns of daily life in the village. He has a fascination with the Voice of America broadcasts. and particularly with the space program. He longs to be part of the developed world. and forms the Werner von Braun fan club. When an American arrives for an aborted international conference. he gets his chance. The American asks him to come to Paris. to run his chewing-gum-ball machine concession on the streets. In Paris. and on a trip to Germany. he makes friends and discovers that progress in the developed world sacrifices important values. Backgrounded by footage of a summit meeting in Paris. and unable to return to an idealized image of his past. he stubbornly refuses to capitulate to the terms of progress. resigning from his post as head of the Werner von Braun fan club and maintaining that he will find his own way.,Narrating in voiceover Tahimik explains the patterns of daily life in the village He has a fascination with the Voice of America broadcasts and particularly with the space program He longs to be part of the developed world and forms the Werner von Braun fan club When an American arrives for an aborted international conference he gets his chance The American asks him to come to Paris to run his chewinggumball machine concession on the streets In Paris and on a trip to Germany he makes friends and discovers that progress in the developed world sacrifices important values Backgrounded by footage of a summit meeting in Paris and unable to return to an idealized image of his past he stubbornly refuses to capitulate to the terms of progress resigning from his post as head of the Werner von Braun fan club and maintaining that he will find his own way
