,title,vote_average,overview,noverviwe
391,Mile... Mile & A Half,8.8,In an epic snow year. five friends leave their daily lives behind to hike California's historic John Muir Trail. a 211-mile stretch from Yosemite to Mt. Whitney (the highest peak in the contiguous U.S.). Their goal - complete the journey in 25 days while capturing the amazing sights & sounds they encounter along the way. Inspired by their bond. humor. artistry & dedication. the group continues to grow: to include other artists. musicians & adventure seekers. Before they all reach the summit. hikers and viewers alike affirm the old adage - it's about the journey. not the destination. Mile... Mile & A Half is the feature-length documentary of that journey...,In an epic snow year five friends leave their daily lives behind to hike Californias historic John Muir Trail a 211mile stretch from Yosemite to Mt Whitney the highest peak in the contiguous US Their goal  complete the journey in 25 days while capturing the amazing sights  sounds they encounter along the way Inspired by their bond humor artistry  dedication the group continues to grow to include other artists musicians  adventure seekers Before they all reach the summit hikers and viewers alike affirm the old adage  its about the journey not the destination Mile Mile  A Half is the featurelength documentary of that journey
392,LA 92,8.8,Twenty-five years after the verdict in the Rodney King trial sparked several days of protests. violence and looting in Los Angeles. LA 92 immerses viewers in that tumultuous period through stunning and rarely seen archival footage.,Twentyfive years after the verdict in the Rodney King trial sparked several days of protests violence and looting in Los Angeles LA 92 immerses viewers in that tumultuous period through stunning and rarely seen archival footage
393,The Spousals of God,8.8,After receiving a visit from a messenger of God. a man (Joao Cesar Monteiro) wins his buddy's girlfriend (Joana Azevedo) through a roll of the dice.,After receiving a visit from a messenger of God a man Joao Cesar Monteiro wins his buddys girlfriend Joana Azevedo through a roll of the dice
394,Bless the Beasts & Children,8.8,Six children at a summer camp embark on a mission to save a buffalo herd from slaughter.,Six children at a summer camp embark on a mission to save a buffalo herd from slaughter
395,Bill Bailey: Tinselworm,8.8,A visually stunning comedy and music extravaganza. Filmed at Wembley Arena at the end of a sell-out tour of the UK. itâs everything you expect from Bill. and more. Using huge screens. films and animation by award-winning film-maker Joe Magee. plus Billâs trademark musical inventiveness and verbal brilliance. this is quite simply the most,A visually stunning comedy and music extravaganza Filmed at Wembley Arena at the end of a sellout tour of the UK itâs everything you expect from Bill and more Using huge screens films and animation by awardwinning filmmaker Joe Magee plus Billâs trademark musical inventiveness and verbal brilliance this is quite simply the most
396,Dave Attell: Road Work,8.8,2014 standup special originally aired on Comedy Central.,2014 standup special originally aired on Comedy Central
397,Planet Earth,8.8,"A documentary miniseries described by its makers as ""the definitive look at the diversity of our planet"". Each 50 minute episode features a global overview of a different biome or habitat on Earth (Polar. Mountain. Cave. Desert. Plains. Fresh Water. Seas. Ocean. Forest). followed by a ten-minute featurette which takes a behind-the-scenes look at the challenges of filming the episode.",A documentary miniseries described by its makers as the definitive look at the diversity of our planet Each 50 minute episode features a global overview of a different biome or habitat on Earth Polar Mountain Cave Desert Plains Fresh Water Seas Ocean Forest followed by a tenminute featurette which takes a behindthescenes look at the challenges of filming the episode
398,Seven Beauties,8.8,"Nominated for four Academy Awards including Best Director. Seven Beauties stars Giancarlo Giannini (Swept Away) as Pasqualino Frafuso. known in Naples as ""Pasqualino Seven Beauties."" A petty thief who lives off of the profits of his seven sisters while claiming to protect their honor at any cost. Pasqualino is arrested for murder and later sent to fight in the army after committing sexual assault. The Germans capture him and he gets sent to a concentration camp where he plots to make his escape by seducing a German officer.",Nominated for four Academy Awards including Best Director Seven Beauties stars Giancarlo Giannini Swept Away as Pasqualino Frafuso known in Naples as Pasqualino Seven Beauties A petty thief who lives off of the profits of his seven sisters while claiming to protect their honor at any cost Pasqualino is arrested for murder and later sent to fight in the army after committing sexual assault The Germans capture him and he gets sent to a concentration camp where he plots to make his escape by seducing a German officer
399,The Godfather Trilogy: 1972-1990,8.8,The multigenerational saga of the rise and fall of the Corleone crime family.,The multigenerational saga of the rise and fall of the Corleone crime family
400,West Beyrouth,8.8,In April. 1975. civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school. making Super 8 movies with his friend. Omar. At first the war is a lark: school has closed. the violence is fascinating. getting from West to East is a game. His mother wants to leave; his father refuses. Tarek spends time with May. a Christian. orphaned and living in his building. By accident. Tarek goes to an infamous brothel in the war-torn Olive Quarter. meeting its legendary madam. Oum Walid. He then takes Omar and May there using her underwear as a white flag for safe passage. Family tensions rise. As he comes of age. the war moves inexorably from adventure to tragedy.,In April 1975 civil war breaks out Beirut is partitioned along a MoslemChristian line Tarek is in high school making Super 8 movies with his friend Omar At first the war is a lark school has closed the violence is fascinating getting from West to East is a game His mother wants to leave his father refuses Tarek spends time with May a Christian orphaned and living in his building By accident Tarek goes to an infamous brothel in the wartorn Olive Quarter meeting its legendary madam Oum Walid He then takes Omar and May there using her underwear as a white flag for safe passage Family tensions rise As he comes of age the war moves inexorably from adventure to tragedy
401,The Story of Film: An Odyssey,8.8,The Story of Film: An Odyssey. written and directed by award-winning film-maker Mark Cousins. is the story of international cinema told through the history of cinematic innovation.  Five years in the making. The Story of Film: An Odyssey covers six continents and 12 decades. showing how film-makers are influenced both by the historical events of their times. and by each other. It provides a worldwide guided tour of the greatest movies ever made; an epic tale that starts in nickelodeons and ends as a multi-billion-dollar globalised digital industry.  Described as a love letter to the movies. Cousins visits the key sites in the history of cinema; from Hollywood to Mumbai; from Hitchcock s London to the village where Pather Panchali was shot. and features interviews with legendary filmmakers and actors including Stanley Donen. Kyoko Kagawa. Gus van Sant. Lars Von Trier. Claire Denis. Bernardo Bertolucci. Robert Towne. Jane Campion and Claudia Cardinale.,The Story of Film An Odyssey written and directed by awardwinning filmmaker Mark Cousins is the story of international cinema told through the history of cinematic innovation  Five years in the making The Story of Film An Odyssey covers six continents and 12 decades showing how filmmakers are influenced both by the historical events of their times and by each other It provides a worldwide guided tour of the greatest movies ever made an epic tale that starts in nickelodeons and ends as a multibilliondollar globalised digital industry  Described as a love letter to the movies Cousins visits the key sites in the history of cinema from Hollywood to Mumbai from Hitchcock s London to the village where Pather Panchali was shot and features interviews with legendary filmmakers and actors including Stanley Donen Kyoko Kagawa Gus van Sant Lars Von Trier Claire Denis Bernardo Bertolucci Robert Towne Jane Campion and Claudia Cardinale
402,A Sixth Part of the World,8.8,"Through the travelogue format. it depicts the multitude of Soviet peoples in remote areas of USSR and details the entirety of the wealth of the Soviet land. Focusing on cultural and economic diversity. the film is in fact a call for unification in order to build a ""complete socialist society"".",Through the travelogue format it depicts the multitude of Soviet peoples in remote areas of USSR and details the entirety of the wealth of the Soviet land Focusing on cultural and economic diversity the film is in fact a call for unification in order to build a complete socialist society
403,I. a Woman,8.8,Liv is a franlky sexual being. She finds herself in a series of sexual relationships with men who. she says. fall too much in love with her and become opressive. Finally she meets a man who is very much like her. but that brings its own problems.,Liv is a franlky sexual being She finds herself in a series of sexual relationships with men who she says fall too much in love with her and become opressive Finally she meets a man who is very much like her but that brings its own problems
404,Admiral Yamamoto,8.8,As Japan joins in a political pact with Nazi Germany and fascist Italy. Admiral Isoroku Yamamoto is appointed supreme commander of the Japanese fleet. With Japan headed inexorably toward war. Yamamoto. despite his misgivings. believes the only possible victory lies in destroying the American fleet by surprise at Pearl Harbor. The attack succeeds. but fails to sink the American carrier fleet. Thus Yamamoto must lead the Japanese navy into war with ever-diminishing likelihood of success.,As Japan joins in a political pact with Nazi Germany and fascist Italy Admiral Isoroku Yamamoto is appointed supreme commander of the Japanese fleet With Japan headed inexorably toward war Yamamoto despite his misgivings believes the only possible victory lies in destroying the American fleet by surprise at Pearl Harbor The attack succeeds but fails to sink the American carrier fleet Thus Yamamoto must lead the Japanese navy into war with everdiminishing likelihood of success
405,Lemonade,8.8,"The second ""visual album"" (a collection of short films) by BeyoncÃ©. this time around she takes a piercing look at racial issues and feminist concepts through a sexualized. satirical. and solemn tone.",The second visual album a collection of short films by BeyoncÃ© this time around she takes a piercing look at racial issues and feminist concepts through a sexualized satirical and solemn tone
406,Ticky Tacky,8.8,A wealthy and powerful man is betrayed by those closest to him. and under the guidance of his trusted confidant. devises a fiery requital.,A wealthy and powerful man is betrayed by those closest to him and under the guidance of his trusted confidant devises a fiery requital
407,After Tiller,8.8,Since the assassination of Dr. George Tiller in Kansas in 2009. only four doctors in the United States continue to perform third-trimester abortions. These physicians. all colleagues of Dr. Tiller. sacrifice their safety and personal lives in the name of their fierce. unwavering conviction to help women.,Since the assassination of Dr George Tiller in Kansas in 2009 only four doctors in the United States continue to perform thirdtrimester abortions These physicians all colleagues of Dr Tiller sacrifice their safety and personal lives in the name of their fierce unwavering conviction to help women
408,The Dependent,8.8,Fernandez is a lonely man leading a lonely life. All he does is work for an old man in a hardware store. But all that changes. when he meets the girl of his dreams... and her family.,Fernandez is a lonely man leading a lonely life All he does is work for an old man in a hardware store But all that changes when he meets the girl of his dreams and her family
409,Natsamrat,8.8,Appa. a veteran theatre actor who has primarily worked in adaptations of Shakespeare's plays. falls upon hard times in his old age.,Appa a veteran theatre actor who has primarily worked in adaptations of Shakespeares plays falls upon hard times in his old age
410,Mother Dao. the Turtlelike,8.8,In a span of ninety minutes the film aims to show how the Netherlands administered its colony as a colonial enterprise and what the relations were like at the time. The usual commentary has been omitted and in its place poems and songs in Bahasa Indonesia have been included in a digital sound composition.  In Mother Dao the Turtlelike. the viewer sees how the colonial machinery in the 1920s was implanted in a world so different from Western Europe.,In a span of ninety minutes the film aims to show how the Netherlands administered its colony as a colonial enterprise and what the relations were like at the time The usual commentary has been omitted and in its place poems and songs in Bahasa Indonesia have been included in a digital sound composition  In Mother Dao the Turtlelike the viewer sees how the colonial machinery in the 1920s was implanted in a world so different from Western Europe
411,Justice: A Cross The Universe,8.8,The film follows Justice's March 2008 North American tour. This documentary is directed by Romain Gavras. So Me and the band themselves. The documentary is meant to cover less of the band's live shows. and more of their personal experience touring.  The live portion of this release was recorded at a concert in San Francisco. California at the Concourse Exhibition Center. on March 27. 2008.,The film follows Justices March 2008 North American tour This documentary is directed by Romain Gavras So Me and the band themselves The documentary is meant to cover less of the bands live shows and more of their personal experience touring  The live portion of this release was recorded at a concert in San Francisco California at the Concourse Exhibition Center on March 27 2008
412,Bye Bye Germany,8.7,David Berman and his friends. all Holocaust survivors. have only one purpose: to go to America as soon as possible. For this they need money. Close to his aim. David is not only deprived of his savings but also overtaken by his shady past.,David Berman and his friends all Holocaust survivors have only one purpose to go to America as soon as possible For this they need money Close to his aim David is not only deprived of his savings but also overtaken by his shady past
413,The Kodai Family,8.7,Kie Hirano (Haruka Ayase) is an ordinary OL who often daydreams. Mitsumasa Kodai (Takumi Saito) at the same company as Kie Hirano. but he is an elite salaryman. He is the eldest son in the Kodai family and he is also telepathic. Mitsumasa Kodai got his special ability to read other people's mind from his British grandmother.  Mitsumasa becomes attracted to Kie's warm heart and her dreamy temperament. They begin to date and enjoy their days together. but Mitsumasa Kodai's mother calls.,Kie Hirano Haruka Ayase is an ordinary OL who often daydreams Mitsumasa Kodai Takumi Saito at the same company as Kie Hirano but he is an elite salaryman He is the eldest son in the Kodai family and he is also telepathic Mitsumasa Kodai got his special ability to read other peoples mind from his British grandmother  Mitsumasa becomes attracted to Kies warm heart and her dreamy temperament They begin to date and enjoy their days together but Mitsumasa Kodais mother calls
414,The Gazebo,8.7,TV writer Elliott Nash buries a blackmailer under the new gazebo in his suburban backyard. But the nervous man can't let the body rest there.,TV writer Elliott Nash buries a blackmailer under the new gazebo in his suburban backyard But the nervous man cant let the body rest there
415,Shoah,8.7,Claude Lanzmann directed this 9 1/2 hour documentary of the Holocaust without using a single frame of archive footage. He interviews survivors. witnesses. and ex-Nazis (whom he had to film secretly since they only agreed to be interviewed by audio). His style of interviewing by asking for the most minute details is effective at adding up these details to give a horrifying portrait of the events of Nazi genocide. He also shows. or rather lets some of his subjects themselves show. that the anti-Semitism that caused 6 million Jews to die in the Holocaust is still alive in well in many people that still live in Germany. Poland. and elsewhere.,Claude Lanzmann directed this 9 12 hour documentary of the Holocaust without using a single frame of archive footage He interviews survivors witnesses and exNazis whom he had to film secretly since they only agreed to be interviewed by audio His style of interviewing by asking for the most minute details is effective at adding up these details to give a horrifying portrait of the events of Nazi genocide He also shows or rather lets some of his subjects themselves show that the antiSemitism that caused 6 million Jews to die in the Holocaust is still alive in well in many people that still live in Germany Poland and elsewhere
416,It's Always Fair Weather,8.7,Three World War II buddies promise to meet at a specified place and time 10 years after the war. They keep their word only to discover how far apart they've grown. But the reunion sparks memories of youthful dreams that haven't been fulfilled -- and slowly. the three men reevaluate their lives and try to find a way to renew their friendship.,Three World War II buddies promise to meet at a specified place and time 10 years after the war They keep their word only to discover how far apart theyve grown But the reunion sparks memories of youthful dreams that havent been fulfilled  and slowly the three men reevaluate their lives and try to find a way to renew their friendship
417,The Work of Director Jonathan Glazer,8.7,This DVD is a collection of the work of the director Jonathan Glazer and includes his music videos. commercials. short films . excerpts from his feature films as well as commentaries and interviews with the actors. musicians and other collaborators. New original content includes TRAMP and ARTSHOLE both starring Jonathan and Paul Kaye. and a documentary about Jonathan's work.,This DVD is a collection of the work of the director Jonathan Glazer and includes his music videos commercials short films  excerpts from his feature films as well as commentaries and interviews with the actors musicians and other collaborators New original content includes TRAMP and ARTSHOLE both starring Jonathan and Paul Kaye and a documentary about Jonathans work
418,Voices Through Time,8.7,Seasons of the year are used to frame human life. from birth to death.,Seasons of the year are used to frame human life from birth to death
419,Seven Waves Away,8.7,Ship's officer finds himself in command of a lifeboat full of survivors of a sunken luxury liner.,Ships officer finds himself in command of a lifeboat full of survivors of a sunken luxury liner
420,The Joker Is Wild,8.7,Frank Sinatra stars in director Charles Vidor's 1957 film biography of nightclub entertainer Joe E. Lewis. The cast also includes Mitzi Gaynor. Jeanne Crain. Eddie Albert. Beverly Garland. Jackie Coogan. Harold Huber. Barry Kelley. Ted de Corsia. Ned Glass. Mary Treen and Sid Melton.,Frank Sinatra stars in director Charles Vidors 1957 film biography of nightclub entertainer Joe E Lewis The cast also includes Mitzi Gaynor Jeanne Crain Eddie Albert Beverly Garland Jackie Coogan Harold Huber Barry Kelley Ted de Corsia Ned Glass Mary Treen and Sid Melton
421,The English Surgeon,8.7,This documentary offers a glimpse into the life of an English neurosurgeon (Henry Marsh) situated in Ukraine as we are exposed to the overwhelming dilemmas he has to face and the burden he has to carry throughout his profession.,This documentary offers a glimpse into the life of an English neurosurgeon Henry Marsh situated in Ukraine as we are exposed to the overwhelming dilemmas he has to face and the burden he has to carry throughout his profession
422,Traceroute,8.7,"Artist and life-long nerd Johannes Grenzfurthner is taking us on a personal road trip from the West Coast to the East Coast of the USA. to introduce us to places and people that shaped and inspired his art and politics. Traceroute wants to chase and question the ghosts of nerddom's past. present and future. An exhilarating tour de farce into the guts of trauma. obsession and cognitive capitalism.  Features interviews with Matt Winston. Sandy Stone. Bruce Sterling. Jason Scott. Christina Agapakis. Trevor Paglen. Ryan Finnigan. Kit Stubbs. V. Vale. Sean Bonner. Allison Cameron. Josh Ellingson. Maggie Mayhem. Paolo Pedercini. Steve Tolin. Dan Wilcox. Jon Lebkowsky. Jan ""Varka"" Mulders. Adam Flynn. Abie Hadjitarkhani. Kelly Poots...",Artist and lifelong nerd Johannes Grenzfurthner is taking us on a personal road trip from the West Coast to the East Coast of the USA to introduce us to places and people that shaped and inspired his art and politics Traceroute wants to chase and question the ghosts of nerddoms past present and future An exhilarating tour de farce into the guts of trauma obsession and cognitive capitalism  Features interviews with Matt Winston Sandy Stone Bruce Sterling Jason Scott Christina Agapakis Trevor Paglen Ryan Finnigan Kit Stubbs V Vale Sean Bonner Allison Cameron Josh Ellingson Maggie Mayhem Paolo Pedercini Steve Tolin Dan Wilcox Jon Lebkowsky Jan Varka Mulders Adam Flynn Abie Hadjitarkhani Kelly Poots
423,Snowdenâs Great Escape,8.7,"""Snowdenâs Great Escape"" tells the story of how Edward Snowden managed to evade capture by the US. For the first time Snowden tells the story of how he managed to escape so that not to have to spend the rest of his life in an American prison.",Snowdenâs Great Escape tells the story of how Edward Snowden managed to evade capture by the US For the first time Snowden tells the story of how he managed to escape so that not to have to spend the rest of his life in an American prison
424,Rick and Morty: State of Georgia Vs. Denver Fenton Allen,8.7,A faithful. word-for-word recreation of one colorful day in the American court system.,A faithful wordforword recreation of one colorful day in the American court system
425,The Hart of London,8.7,A surreal sequence of images of nature and London. Ontario. life and death.,A surreal sequence of images of nature and London Ontario life and death
426,In This Corner of the World,8.7,Newlywed Suzu Urano moves to her new life in Kure City on the coast of Hiroshima Prefecture. where she perseveres through World War II with pluck and determination.,Newlywed Suzu Urano moves to her new life in Kure City on the coast of Hiroshima Prefecture where she perseveres through World War II with pluck and determination
427,The End of Time,8.7,Explores our perception of time.,Explores our perception of time
428,Margaret Cho: I'm the One That I Want,8.7,November. 1999. Margaret Cho is home in San Francisco at the Warfield Theater. Cho structures her monologue loosely on her professional life's trajectory: doing stand-up. cast in an ABC-TV sitcom. losing 30 pounds in two weeks for the part. the show's cancellation. a descent into booze. pills. and self-loathing. and a resurrection into her own voice. her own shape. and being the one she wants.,November 1999 Margaret Cho is home in San Francisco at the Warfield Theater Cho structures her monologue loosely on her professional lifes trajectory doing standup cast in an ABCTV sitcom losing 30 pounds in two weeks for the part the shows cancellation a descent into booze pills and selfloathing and a resurrection into her own voice her own shape and being the one she wants
429,Tchoupitoulas,8.7,A  lyrical documentary that follows three adolescent brothers as they journey through one night in New Orleans. encountering a vibrant kaleidoscope of dancers. musicians. hustlers. and revelers parading through the lamplit streets. The filmmakers fully immerse us into the New Orleans night. passing through many lively and luminous locations and introducing us to the people who make the city their home.,A  lyrical documentary that follows three adolescent brothers as they journey through one night in New Orleans encountering a vibrant kaleidoscope of dancers musicians hustlers and revelers parading through the lamplit streets The filmmakers fully immerse us into the New Orleans night passing through many lively and luminous locations and introducing us to the people who make the city their home
430,Blood on the Mountain,8.7,Blood on the Mountain' focuses on the environmental and economic injustice and corporate control in West Virginia and its rippling effect on all American workers. This film will tell the story of a hard-working people who have historically had limited choices and have never benefited fairly from the rich natural resources of their land. The failure to diversify the economy has insured control by outside. unrestricted corporations with the support of politicians kept in their positions by these very same companies.,Blood on the Mountain focuses on the environmental and economic injustice and corporate control in West Virginia and its rippling effect on all American workers This film will tell the story of a hardworking people who have historically had limited choices and have never benefited fairly from the rich natural resources of their land The failure to diversify the economy has insured control by outside unrestricted corporations with the support of politicians kept in their positions by these very same companies
431,Wow! A Talking Fish!,8.7,"Created in 1983. the animated movie uses the plot of Ovanes Tumanyan's tale ""Talking fish"".",Created in 1983 the animated movie uses the plot of Ovanes Tumanyans tale Talking fish
432,Zero 3,8.7,Lithuanian politics Tarantino style,Lithuanian politics Tarantino style
433,Jennifer,8.7,Ostracized at a snooty private school because of her rural. poor background. a scholarship student is tormented to the point where her only remaining recourse is revenge. using the only method she knows: her psychic control over snakes!,Ostracized at a snooty private school because of her rural poor background a scholarship student is tormented to the point where her only remaining recourse is revenge using the only method she knows her psychic control over snakes
434,Stop Making Sense,8.7,"David Byrne walks onto the stage and does a solo ""Psycho Killer"". Jerry Harrison. Tina Weymouth and Chris Frantz join him for two more songs. The crew is busy. still setting up. Then. three more musicians and two back-up singers join the band. Everybody sings. plays. harmonizes. dances. and runs. In this concert film. the Talking Heads hardly talk. don't stop. and always make sense.",David Byrne walks onto the stage and does a solo Psycho Killer Jerry Harrison Tina Weymouth and Chris Frantz join him for two more songs The crew is busy still setting up Then three more musicians and two backup singers join the band Everybody sings plays harmonizes dances and runs In this concert film the Talking Heads hardly talk dont stop and always make sense
435,Houston. We Have a Problem!,8.7,"The cold war. the space race. and NASAâs moon landing are landmark events that defined an era. But they are also fodder for conspiracy theories.
 In Houston. We Have a Problem! filmmaker Å½iga Virc adds new material to the discussion on both fronts. This intriguing docu-fiction explores the myth of the secret multi-billion-dollar deal behind Americaâs purchase of Yugoslaviaâs clandestine space program in the early 1960s.","The cold war the space race and NASAâs moon landing are landmark events that defined an era But they are also fodder for conspiracy theories
 In Houston We Have a Problem filmmaker Å½iga Virc adds new material to the discussion on both fronts This intriguing docufiction explores the myth of the secret multibilliondollar deal behind Americaâs purchase of Yugoslaviaâs clandestine space program in the early 1960s"
436,The City Dark,8.7,THE CITY DARK is a feature documentary about the loss of night. After moving to NYC from rural Maine. filmmaker Ian Cheney asks a simple question - do we need the stars? - taking him from Brooklyn to Mauna Kea. Paris. and beyond. Exploring the threat of killer asteroids in Hawaii. tracking hatching turtles along the Florida coast. and rescuing injured birds on Chicago streets. Cheney unravels the myriad implications of a globe glittering with lights - including increased breast cancer rates from exposure to light at night. and a generation of kids without a glimpse of the universe above. Featuring stunning astrophotography and a cast of eclectic scientists. THE CITY DARK is the definitive story of light pollution and the disappearing stars. Written by Wicked Delicate Films,THE CITY DARK is a feature documentary about the loss of night After moving to NYC from rural Maine filmmaker Ian Cheney asks a simple question  do we need the stars  taking him from Brooklyn to Mauna Kea Paris and beyond Exploring the threat of killer asteroids in Hawaii tracking hatching turtles along the Florida coast and rescuing injured birds on Chicago streets Cheney unravels the myriad implications of a globe glittering with lights  including increased breast cancer rates from exposure to light at night and a generation of kids without a glimpse of the universe above Featuring stunning astrophotography and a cast of eclectic scientists THE CITY DARK is the definitive story of light pollution and the disappearing stars Written by Wicked Delicate Films
437,Bye Bye Braverman,8.7,Friends gather for the funeral of a friend. Sub-plots unfold as the group attempts to link-up to attend the funeral of their friend. Braverman.,Friends gather for the funeral of a friend Subplots unfold as the group attempts to linkup to attend the funeral of their friend Braverman
438,La LeÃ³n,8.7,Deep in the lush river jungles of Argentina. Alvaro lives a solitary existence fishing and harvesting reeds. What sets him apart from the rest of his village is that he is gay. There are no other gay men in his world. his only means of expression is with the occasional outsider who passes through. Most of these men come via the river taxi El LeÃ³n. whose captain El Turu is a mean man with a homophobic streak and a secret.  When illegal loggers appear in the jungle El Turu accuses Alvaro of aiding them. a dispute which leads both men towards confrontation.,Deep in the lush river jungles of Argentina Alvaro lives a solitary existence fishing and harvesting reeds What sets him apart from the rest of his village is that he is gay There are no other gay men in his world his only means of expression is with the occasional outsider who passes through Most of these men come via the river taxi El LeÃ³n whose captain El Turu is a mean man with a homophobic streak and a secret  When illegal loggers appear in the jungle El Turu accuses Alvaro of aiding them a dispute which leads both men towards confrontation
439,Cirque du Soleil: Varekai,8.7,"Icarus (Anton Chelnokov) is the main character of Varekai. who falls to the ground. breaking his legs as he does. He is suddenly in a strange. new world full of creatures he has never seen before. ""Parachuted into the shadows of a magical forest. a kaleidoscopic world populated by fantastical creatures. this young man sets off on an adventure both absurd and extraordinary.",Icarus Anton Chelnokov is the main character of Varekai who falls to the ground breaking his legs as he does He is suddenly in a strange new world full of creatures he has never seen before Parachuted into the shadows of a magical forest a kaleidoscopic world populated by fantastical creatures this young man sets off on an adventure both absurd and extraordinary
440,Chasing Coral,8.7,Coral reefs are the nursery for all life in the oceans. a remarkable ecosystem that sustains us. Yet with carbon emissions warming the seas. a phenomenon called âcoral bleachingââa sign of mass coral deathâhas been accelerating around the world. and the public has no idea of the scale or implication of the catastrophe silently raging underwater.,Coral reefs are the nursery for all life in the oceans a remarkable ecosystem that sustains us Yet with carbon emissions warming the seas a phenomenon called âcoral bleachingââa sign of mass coral deathâhas been accelerating around the world and the public has no idea of the scale or implication of the catastrophe silently raging underwater
441,Babylon,8.7,Drama telling the story of Blue. a young man of Jamaican descent living in Brixton in 1980. as he hangs out with his friends. fronts a dub sound system. loses his job. struggles with family problems and has his friendships tested by racism.,Drama telling the story of Blue a young man of Jamaican descent living in Brixton in 1980 as he hangs out with his friends fronts a dub sound system loses his job struggles with family problems and has his friendships tested by racism
442,Ghadi,8.7,In a traditional neighborhood of a small Lebanese coastal town. Leba (Georges Khabbaz) is a music instructor. Social pressure leads him to get married and have children. To the dismay of his family. neighbors. and friends. he has a first girl and then a second one. His beloved wife Lara. a French literature teacher. is pregnant for the third time and yes. it's a BOY! However. medical tests show that the boy will have special needs. Will Leba and Nay keep the baby? Will he become a burden on the family; or its pride and joy?,In a traditional neighborhood of a small Lebanese coastal town Leba Georges Khabbaz is a music instructor Social pressure leads him to get married and have children To the dismay of his family neighbors and friends he has a first girl and then a second one His beloved wife Lara a French literature teacher is pregnant for the third time and yes its a BOY However medical tests show that the boy will have special needs Will Leba and Nay keep the baby Will he become a burden on the family or its pride and joy
443,The T.A.M.I. Show,8.7,"Hailed by one music reviewer as ""the grooviest. wildest. slickest hit ever to pound the screen."" ""The T.A.M.I. Show"" is an unrelenting rock spectacular starring some of the greatest pop performers of the 60s. These top recording idols - representing the musical moods of London. Liverpool. Hollywood and Detroit - packed the Santa Monica Civic Auditorium with 2.600 screaming fans and virtually brought down the house. This is the cinematic record of that electrifying event.",Hailed by one music reviewer as the grooviest wildest slickest hit ever to pound the screen The TAMI Show is an unrelenting rock spectacular starring some of the greatest pop performers of the 60s These top recording idols  representing the musical moods of London Liverpool Hollywood and Detroit  packed the Santa Monica Civic Auditorium with 2600 screaming fans and virtually brought down the house This is the cinematic record of that electrifying event
444,I Am Thor,8.7,John Mikl Thor was a bodybuilding. steel bending. brick smashing rock star in the 70's &amp; 80's whose band. Thor. never quite made it big. Years later he attempts a comeback that nearly kills him.,John Mikl Thor was a bodybuilding steel bending brick smashing rock star in the 70s amp 80s whose band Thor never quite made it big Years later he attempts a comeback that nearly kills him
445,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,8.7,Through the eyes. words and songs of it's popular music stars of the 50s. 60s. and 70s. Don't Think I've Forgotten: Cambodia's Lost Rock and Roll examines and unravels Cambodia's tragic past. culminating in the genocidal Khmer Rouge's dismantling of the society and murder of 2.000.000 of it's citizens.,Through the eyes words and songs of its popular music stars of the 50s 60s and 70s Dont Think Ive Forgotten Cambodias Lost Rock and Roll examines and unravels Cambodias tragic past culminating in the genocidal Khmer Rouges dismantling of the society and murder of 2000000 of its citizens
446,Sansho the Bailiff,8.7,In medieval Japan a compassionate governor is sent into exile. His wife and children try to join him. but are separated. and the children grow up amid suffering and oppression.,In medieval Japan a compassionate governor is sent into exile His wife and children try to join him but are separated and the children grow up amid suffering and oppression
447,Jimmy Carr: In Concert,8.7,Britain's foremost multi award winning joke technician Jimmy Carr returns with his fourth live stand up DVD. Jimmy Carr In Concert.,Britains foremost multi award winning joke technician Jimmy Carr returns with his fourth live stand up DVD Jimmy Carr In Concert
448,Extraordinary Mission,8.7,âExtraordinary Missionâ is a new Chinese action thriller directed by Alan Mak (âInfernal Affairsâ) and Anthony Pun.  The film revolves an undercover police officer who attempts to take down a drug trafficking syndicate from the inside. The cast includes Huang Xuan. Duan Yihong. Lang Yueting. Zu Feng. Xing Jia-Dong. and David Wang.,âExtraordinary Missionâ is a new Chinese action thriller directed by Alan Mak âInfernal Affairsâ and Anthony Pun  The film revolves an undercover police officer who attempts to take down a drug trafficking syndicate from the inside The cast includes Huang Xuan Duan Yihong Lang Yueting Zu Feng Xing JiaDong and David Wang
449,The Mask You Live In,8.7,Compared to girls. research shows that boys in the U.S. are more likely to be diagnosed with a behavior disorder. prescribed stimulant medications. fail out of school. binge drink. commit a violent crime. and/or take their own lives.  Jennifer Siebel Newsom's new documentary film. The Mask You Live In. asks: As a society. how are we failing our boys?,Compared to girls research shows that boys in the US are more likely to be diagnosed with a behavior disorder prescribed stimulant medications fail out of school binge drink commit a violent crime andor take their own lives  Jennifer Siebel Newsoms new documentary film The Mask You Live In asks As a society how are we failing our boys
450,Hands on a Hard Body: The Documentary,8.7,Hands on a Hard Body: The Documentary is a 1997 film documenting an endurance competition that took place in Longview. Texas. The yearly competition pits twenty-four contestants against each other to see who can keep their hand on a pickup truck for the longest amount of time. Whoever endures the longest without leaning on the truck or squatting wins the truck.,Hands on a Hard Body The Documentary is a 1997 film documenting an endurance competition that took place in Longview Texas The yearly competition pits twentyfour contestants against each other to see who can keep their hand on a pickup truck for the longest amount of time Whoever endures the longest without leaning on the truck or squatting wins the truck
